"TransectName","Point","Year","DOY","Habitat","DistanceBin","TimeBin","Count"
"Bird Plan Rainbow","BP_RB1",2005,143,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2006,142,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","G25",3,2
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2007,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2008,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2009,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2010,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","L25",3,2
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2011,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2012,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","L25",3,2
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2013,135,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","L25",10,1
"Bird Plan Rainbow","BP_RB1",2014,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2015,134,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2016,132,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2019,136,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2021,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB1",2022,137,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","L25",10,2
"Bird Plan Rainbow","BP_RB2",2005,143,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","L25",3,2
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2006,142,"Hardwood Plantation","G25",10,1
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2007,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2008,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","G25",5,1
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2009,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","G25",5,1
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2010,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","L25",3,2
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2011,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2012,139,"Hardwood Plantation","G25",10,1
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2013,135,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","G25",5,1
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2014,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2015,134,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2016,132,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2019,137,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","G25",3,1
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2021,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB2",2022,137,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","L25",5,1
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2005,143,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","G25",5,1
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2006,142,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","L25",5,1
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2007,138,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2008,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2009,140,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","G25",3,2
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2010,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2011,139,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","L25",3,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2012,139,"Hardwood Plantation","G25",10,1
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","L25",3,1
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","G25",3,0
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","L25",5,0
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","G25",5,0
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","L25",10,0
"Bird Plan Rainbow","BP_RB3",2013,135,"Hardwood Plantation","G25",10,0
"Bird Plan Rainbow","BP_RB3",2014,139,"Hardwood Plantation","L25",3,0
